timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765811898,,,,-2.013000011444092
1770765811899,,6.6160502433776855,-5.577000141143799,-1.8840000629425049
1770765811900,,,,-3.2989501953125
1770765811901,1.8785359420201215,8.469000816345215,-6.379050254821777,
1770765811953,,6.943950176239014,-4.9609503746032715,-2.4940500259399414
1770765811966,,5.670000076293945,-3.400050163269043,-2.6620500087738037
1770765811967,1.676436716215844,,,
1770765812008,,,,-4.71405029296875
1770765812009,,6.57705020904541,-5.862000465393066,-5.511000156402588
1770765812022,4.028816138993132,3.9820501804351807,-5.335050106048584,-6.796950340270996
1770765812063,,3.4810502529144287,-5.589000225067139,-6.706050395965576
1770765812105,1.8948016730728157,4.947000026702881,-6.30495023727417,-4.474050045013428
1770765812166,,,,-2.9010000228881836
1770765812167,,6.4770002365112305,-5.2099504470825195,
1770765812168,2.5592955114669054,,,
1770765812225,,4.2330002784729,-9.118050575256348,0.21495001018047333
1770765812226,5.336638419946038,4.699950218200684,,
1770765812283,,,,-6.8520002365112305
1770765812284,,13.939950942993164,-6.115950107574463,-4.017000198364258
1770765812285,,,,0.16695000231266022
1770765812286,2.877983038400979,5.991000175476074,-6.763950347900391,
1770765812342,,4.846050262451172,-6.28095006942749,-1.7089500427246094
1770765812368,,,,-5.592000484466553
1770765812369,4.0231954853638605,2.4160501956939697,-4.168950080871582,
1770765812394,,,-7.770000457763672,0.9070500135421753
1770765812395,,8.437950134277344,,
1770765812429,,7.228950500488281,-7.255050182342529,-4.903050422668457
1770765812430,6.8367014082099224,,,
1770765812451,,9.793050765991211,-1.8130500316619873,-8.017950057983398
1770765812491,,,,-5.149050235748291
1770765812492,1.362080217141809,7.521000385284424,-3.4669501781463623,-2.5470001697540283
1770765812550,,,,-2.817000150680542
1770765812551,,,-5.079000473022461,-5.857950210571289
1770765812552,,9.175050735473633,-5.697000503540039,
1770765812554,5.037172800044176,,,
1770765812570,,9.81195068359375,-3.475050210952759,-4.5960001945495605
1770765812614,,,,-2.5660500526428223
1770765812615,,6.175050258636475,-4.528050422668457,
1770765812632,,,,-5.427000045776367
1770765812633,3.9923365615517845,3.3570001125335693,-5.239050388336182,
